ticker,date,buy_volume,buy_value_bil_vnd,sell_volume,sell_value_bil_vnd,net_trading_volume,net_trading_value_bil_vnd
bmp,12/09/2024,100,0.01,500,0.06,-400,-0.04
bmp,11/09/2024,"1,200",0.13,"1,600",0.17,-400,-0.04
bmp,10/09/2024,800,0.08,"1,800",0.19,"-1,000",-0.11
bmp,09/09/2024,"1,700",0.18,"3,800",0.39,"-2,100",-0.22
bmp,06/09/2024,"1,400",0.14,900,0.09,500,0.05
bmp,05/09/2024,500,0.05,"1,700",0.18,"-1,200",-0.13
bmp,04/09/2024,500,0.05,800,0.08,-300,-0.03
bmp,30/08/2024,"3,800",0.39,0,0.0,"3,800",0.39
bmp,29/08/2024,"5,000",0.52,0,0.0,"5,000",0.52
bmp,28/08/2024,"20,200",2.1,300,0.03,"19,900",2.07
bmp,27/08/2024,"20,100",2.09,0,0.0,"20,100",2.09
bmp,26/08/2024,"21,200",2.23,0,0.0,"21,200",2.23
bmp,23/08/2024,"1,700",0.18,300,0.03,"1,400",0.15
bmp,22/08/2024,200,0.02,500,0.05,-300,-0.03
bmp,21/08/2024,600,0.06,100,0.01,500,0.05
bmp,20/08/2024,"5,900",0.6,200,0.02,"5,700",0.58
bmp,19/08/2024,0,0.0,"2,600",0.26,"-2,600",-0.26
bmp,16/08/2024,0,0.0,"4,800",0.48,"-4,800",-0.48
bmp,15/08/2024,400,0.04,500,0.05,-100,-0.01
bmp,14/08/2024,200,0.02,800,0.08,-600,-0.06
bmp,13/08/2024,100,0.01,100,0.01,0,-0.0
bmp,12/08/2024,0,0.0,"1,400",0.13,"-1,400",-0.13
bmp,08/08/2024,100,0.01,"2,900",0.27,"-2,800",-0.26
bmp,07/08/2024,100,0.01,100,0.01,0,-0.0
bmp,06/08/2024,600,0.05,"1,600",0.15,"-1,000",-0.09
bmp,05/08/2024,"15,300",1.44,"2,300",0.22,"13,000",1.22
bmp,02/08/2024,"34,100",3.22,"1,100",0.1,"33,000",3.12
bmp,01/08/2024,"63,800",6.09,0,0.0,"63,800",6.09
bmp,31/07/2024,700,0.07,0,0.0,700,0.07
bmp,30/07/2024,"1,000",0.1,200,0.02,800,0.08
bmp,29/07/2024,800,0.08,0,0.0,800,0.08
bmp,26/07/2024,500,0.05,"3,600",0.34,"-3,100",-0.29
bmp,25/07/2024,900,0.08,600,0.06,300,0.03
bmp,24/07/2024,900,0.08,"2,400",0.23,"-1,500",-0.14
bmp,23/07/2024,"2,600",0.25,"3,700",0.36,"-1,100",-0.11
bmp,22/07/2024,"2,500",0.24,0,0.0,"2,500",0.24
bmp,19/07/2024,"1,400",0.14,"1,700",0.17,-300,-0.03
bmp,18/07/2024,"1,200",0.12,"5,800",0.57,"-4,600",-0.45
bmp,17/07/2024,"5,900",0.59,0,0.0,"5,900",0.59
bmp,16/07/2024,"3,100",0.3,"1,300",0.13,"1,800",0.17
bmp,15/07/2024,300,0.03,0,0.0,300,0.03
bmp,12/07/2024,"1,700",0.17,200,0.02,"1,500",0.15
bmp,11/07/2024,"1,000",0.1,300,0.03,700,0.07
bmp,10/07/2024,"4,500",0.44,400,0.04,"4,100",0.41
bmp,09/07/2024,"8,900",0.87,"6,100",0.6,"2,800",0.28
bmp,08/07/2024,"1,300",0.13,"22,500",2.22,"-21,200",-2.09
bmp,05/07/2024,"1,200",0.12,"6,800",0.68,"-5,600",-0.56
bmp,04/07/2024,"6,000",0.61,"8,000",0.81,"-2,000",-0.2
bmp,03/07/2024,"1,600",0.16,"11,500",1.14,"-9,900",-0.98
bmp,02/07/2024,"1,100",0.11,"13,400",1.32,"-12,300",-1.21
bmp,01/07/2024,600,0.06,"4,900",0.48,"-4,300",-0.42
bmp,28/06/2024,400,0.04,"4,800",0.49,"-4,400",-0.45
bmp,27/06/2024,"1,100",0.11,"8,900",0.92,"-7,800",-0.81
bmp,26/06/2024,100,0.01,"11,400",1.19,"-11,300",-1.18
bmp,25/06/2024,800,0.08,0,0.0,800,0.08
bmp,24/06/2024,"7,300",0.77,100,0.01,"7,200",0.76
bmp,21/06/2024,300,0.03,"8,700",0.94,"-8,400",-0.91
bmp,20/06/2024,400,0.04,"1,200",0.13,-800,-0.09
bmp,19/06/2024,"3,300",0.36,"5,400",0.58,"-2,100",-0.23
bmp,18/06/2024,"2,000",0.21,"1,000",0.11,"1,000",0.11
bmp,17/06/2024,"1,800",0.19,200,0.02,"1,600",0.17
bmp,14/06/2024,"1,900",0.2,"3,300",0.36,"-1,400",-0.15
bmp,13/06/2024,"1,400",0.15,"5,100",0.55,"-3,700",-0.4
bmp,12/06/2024,"4,100",0.44,"2,800",0.3,"1,300",0.14
bmp,11/06/2024,300,0.03,"2,900",0.31,"-2,600",-0.28
bmp,10/06/2024,0,0.0,"3,900",0.42,"-3,900",-0.42
bmp,07/06/2024,900,0.1,0,0.0,900,0.1
bmp,06/06/2024,"1,200",0.13,0,0.0,"1,200",0.13
bmp,05/06/2024,"3,600",0.4,0,0.0,"3,600",0.4
bmp,04/06/2024,"1,400",0.15,900,0.1,500,0.05
bmp,03/06/2024,"2,500",0.27,"1,900",0.21,600,0.07
bmp,31/05/2024,"3,500",0.38,900,0.1,"2,600",0.28
bmp,30/05/2024,"1,300",0.14,"3,100",0.34,"-1,800",-0.2
bmp,29/05/2024,0,0.0,"1,100",0.12,"-1,100",-0.12
bmp,28/05/2024,0,0.0,"1,800",0.2,"-1,800",-0.2
bmp,27/05/2024,100,0.01,0,0.0,100,0.01
bmp,24/05/2024,"3,500",0.39,"1,300",0.14,"2,200",0.24
bmp,23/05/2024,"6,000",0.67,0,0.0,"6,000",0.67
bmp,22/05/2024,"3,300",0.36,"1,000",0.11,"2,300",0.25
bmp,21/05/2024,800,0.09,"4,100",0.45,"-3,300",-0.36
bmp,20/05/2024,"2,900",0.32,"327,522",36.88,"-324,622",-36.55
bmp,17/05/2024,"1,600",0.18,"2,500",0.29,-900,-0.1
bmp,16/05/2024,"331,722",39.51,"1,600",0.19,"330,122",39.32
bmp,15/05/2024,0,0.0,"4,200",0.49,"-4,200",-0.49
bmp,14/05/2024,"2,400",0.28,0,0.0,"2,400",0.28
bmp,13/05/2024,"1,000",0.12,0,0.0,"1,000",0.12
bmp,10/05/2024,"2,200",0.26,"3,600",0.42,"-1,400",-0.16
bmp,09/05/2024,0,0.0,"2,200",0.26,"-2,200",-0.26
bmp,08/05/2024,0,0.0,"4,300",0.5,"-4,300",-0.5
bmp,07/05/2024,0,0.0,"118,600",13.27,"-118,600",-13.27
bmp,06/05/2024,300,0.03,700,0.08,-400,-0.05
bmp,03/05/2024,"94,000",10.85,"1,700",0.19,"92,300",10.66
bmp,02/05/2024,"20,000",2.22,"2,500",0.28,"17,500",1.94
bmp,26/04/2024,"1,200",0.13,800,0.09,400,0.04
bmp,25/04/2024,"2,300",0.25,"1,100",0.12,"1,200",0.13
bmp,24/04/2024,800,0.09,"1,600",0.17,-800,-0.09
bmp,23/04/2024,500,0.05,0,0.0,500,0.05
bmp,22/04/2024,"1,900",0.2,0,0.0,"1,900",0.2
bmp,19/04/2024,"1,200",0.13,0,0.0,"1,200",0.13
bmp,17/04/2024,"2,300",0.27,"3,500",0.4,"-1,200",-0.14
bmp,16/04/2024,"5,800",0.69,0,0.0,"5,800",0.69
bmp,15/04/2024,"2,000",0.24,0,0.0,"2,000",0.24
bmp,12/04/2024,0,0.0,"5,200",0.61,"-5,200",-0.61
bmp,11/04/2024,"1,300",0.15,"2,900",0.33,"-1,600",-0.18
bmp,10/04/2024,"1,300",0.15,"3,100",0.35,"-1,800",-0.2
bmp,09/04/2024,"1,100",0.12,300,0.03,800,0.09
bmp,08/04/2024,"4,600",0.52,500,0.06,"4,100",0.46
bmp,05/04/2024,"6,700",0.76,"3,700",0.42,"3,000",0.34
bmp,04/04/2024,"2,400",0.27,600,0.07,"1,800",0.2
bmp,03/04/2024,0,0.0,"5,000",0.58,"-5,000",-0.58
bmp,02/04/2024,0,0.0,"1,200",0.14,"-1,200",-0.14
bmp,01/04/2024,0,0.0,800,0.09,-800,-0.09
bmp,29/03/2024,0,0.0,500,0.06,-500,-0.06
bmp,28/03/2024,"3,600",0.41,0,0.0,"3,600",0.41
bmp,27/03/2024,0,0.0,"4,300",0.47,"-4,300",-0.47
bmp,26/03/2024,"1,800",0.2,400,0.04,"1,400",0.15
bmp,25/03/2024,"3,600",0.39,"3,700",0.4,-100,-0.01
bmp,22/03/2024,"3,800",0.42,"2,100",0.23,"1,700",0.19
bmp,21/03/2024,"2,300",0.26,0,0.0,"2,300",0.26
bmp,20/03/2024,"4,300",0.47,0,0.0,"4,300",0.47
bmp,19/03/2024,500,0.05,0,0.0,500,0.05
bmp,18/03/2024,"3,200",0.35,"5,600",0.64,"-2,400",-0.29
bmp,15/03/2024,500,0.06,"1,400",0.16,-900,-0.1
bmp,14/03/2024,0,0.0,"1,700",0.2,"-1,700",-0.2
bmp,13/03/2024,0,0.0,500,0.06,-500,-0.06
bmp,12/03/2024,"1,100",0.13,100,0.01,"1,000",0.11
bmp,11/03/2024,900,0.1,100,0.01,800,0.09
bmp,08/03/2024,"1,200",0.14,"3,900",0.44,"-2,700",-0.31
bmp,07/03/2024,0,0.0,"1,900",0.22,"-1,900",-0.22
bmp,06/03/2024,"1,800",0.21,0,0.0,"1,800",0.21
bmp,05/03/2024,600,0.07,0,0.0,600,0.07
bmp,04/03/2024,300,0.03,"2,400",0.27,"-2,100",-0.24
bmp,01/03/2024,0,0.0,"2,800",0.32,"-2,800",-0.32
bmp,29/02/2024,100,0.01,"1,500",0.17,"-1,400",-0.16
bmp,28/02/2024,"3,200",0.37,500,0.06,"2,700",0.31
bmp,27/02/2024,"1,300",0.15,"2,800",0.33,"-1,500",-0.18
bmp,26/02/2024,200,0.02,"2,900",0.34,"-2,700",-0.32
bmp,23/02/2024,"3,600",0.41,"1,000",0.11,"2,600",0.3
bmp,22/02/2024,0,0.0,800,0.09,-800,-0.09
bmp,21/02/2024,"1,900",0.2,"3,900",0.41,"-2,000",-0.21
bmp,19/02/2024,"1,700",0.18,0,0.0,"1,700",0.18
bmp,16/02/2024,"4,600",0.48,0,0.0,"4,600",0.48
bmp,15/02/2024,"1,000",0.1,400,0.04,600,0.06
bmp,07/02/2024,600,0.06,0,0.0,600,0.06
bmp,06/02/2024,200,0.02,0,0.0,200,0.02
bmp,05/02/2024,"3,000",0.32,0,0.0,"3,000",0.32
bmp,02/02/2024,0,0.0,"2,800",0.3,"-2,800",-0.3
bmp,01/02/2024,400,0.04,400,0.04,0,-0.0
bmp,31/01/2024,100,0.01,300,0.03,-200,-0.02
bmp,30/01/2024,0,0.0,900,0.09,-900,-0.09
bmp,29/01/2024,0,0.0,"4,000",0.42,"-4,000",-0.42
bmp,26/01/2024,800,0.09,0,0.0,800,0.09
bmp,24/01/2024,0,0.0,400,0.04,-400,-0.04
bmp,23/01/2024,0,0.0,300,0.03,-300,-0.03
bmp,22/01/2024,"1,600",0.17,"1,600",0.17,0,-0.0
bmp,19/01/2024,"1,600",0.17,0,0.0,"1,600",0.17
bmp,18/01/2024,100,0.01,700,0.08,-600,-0.06
bmp,17/01/2024,0,0.0,"1,100",0.12,"-1,100",-0.12
bmp,15/01/2024,0,0.0,500,0.05,-500,-0.05
bmp,12/01/2024,"1,200",0.13,0,0.0,"1,200",0.13
bmp,11/01/2024,100,0.01,"27,800",2.95,"-27,700",-2.94
bmp,10/01/2024,900,0.09,0,0.0,900,0.09
bmp,09/01/2024,"1,000",0.11,0,0.0,"1,000",0.11
bmp,08/01/2024,0,0.0,"1,300",0.14,"-1,300",-0.14
bmp,05/01/2024,100,0.01,300,0.03,-200,-0.02
bmp,04/01/2024,"1,200",0.13,"1,200",0.13,0,-0.0
bmp,03/01/2024,0,0.0,100,0.01,-100,-0.01
bmp,02/01/2024,"27,700",2.93,500,0.05,"27,200",2.88
